cuBLAS baseline(ctypes 直调系统 libcublas)
[1/100] 1138_bus → 0.112 ms
[2/100] 494_bus → 0.032 ms
[3/100] 662_bus → 0.045 ms
[4/100] 685_bus → 0.047 ms
[5/100] arc130 → 0.049 ms
[6/100] ash292 → 0.047 ms
[7/100] ash85 → 0.029 ms
[8/100] bcspwr01 → 0.048 ms
[9/100] bcspwr02 → 0.048 ms
[10/100] bcspwr03 → 0.041 ms
[11/100] bcspwr04 → 0.026 ms
[12/100] bcspwr05 → 0.060 ms
[13/100] bcspwr06 → 0.223 ms
[14/100] bcspwr07 → 0.280 ms
[15/100] bcspwr08 → 0.262 ms
[16/100] bcspwr09 → 0.347 ms
[17/100] bcspwr10 → 7.620 ms
[18/100] bcsstk01 → 0.048 ms
[19/100] bcsstk02 → 0.039 ms
[20/100] bcsstk03 → 0.032 ms
[21/100] bcsstk04 → 0.025 ms
[22/100] bcsstk05 → 0.038 ms
[23/100] bcsstk06 → 0.046 ms
[24/100] bcsstk07 → 0.051 ms
[25/100] bcsstk08 → 0.116 ms
[26/100] bcsstk09 → 0.130 ms
[27/100] bcsstk10 → 0.135 ms
[28/100] bcsstk11 → 0.224 ms
[29/100] bcsstk12 → 0.218 ms
[30/100] bcsstk13 → 0.538 ms
[31/100] bcsstk14 → 0.401 ms
[32/100] bcsstk15 → 3.446 ms
[33/100] bcsstk16 → 6.905 ms
[34/100] bcsstk17 → 64.654 ms
[35/100] bcsstk18 → 86.159 ms
[36/100] bcsstk19 → 0.060 ms
[37/100] bcsstk20 → 0.034 ms
[38/100] bcsstk21 → 2.688 ms
[39/100] bcsstk22 → 0.021 ms
[40/100] bcsstk23 → 1.806 ms
[41/100] bcsstk24 → 2.614 ms
[42/100] bcsstk25 → 177.713 ms
[43/100] bcsstk26 → 0.506 ms
[44/100] bcsstk27 → 0.161 ms
[45/100] bcsstk28 → 5.049 ms
[46/100] bcsstk29 → 137.153 ms
[47/100] bcsstk30 → 1181.116 ms
[48/100] bcsstk31 → 2317.912 ms
[49/100] bcsstk32 → 4421.696 ms
[50/100] bcsstk33 → 32.818 ms
[51/100] bcsstm01 → 0.048 ms
[52/100] bcsstm02 → 0.037 ms
[53/100] bcsstm03 → 0.026 ms
[54/100] bcsstm04 → 0.026 ms
[55/100] bcsstm05 → 0.050 ms
[56/100] bcsstm06 → 0.040 ms
[57/100] bcsstm07 → 0.060 ms
[58/100] bcsstm08 → 0.126 ms
[59/100] bcsstm09 → 0.144 ms
[60/100] bcsstm10 → 0.130 ms
[61/100] bcsstm11 → 0.233 ms
[62/100] bcsstm12 → 0.234 ms
[63/100] bcsstm13 → 0.542 ms
[64/100] bcsstm19 → 0.091 ms
[65/100] bcsstm20 → 0.059 ms
[66/100] bcsstm21 → 2.703 ms
[67/100] bcsstm22 → 0.030 ms
[68/100] bcsstm23 → 1.814 ms
[69/100] bcsstm24 → 2.617 ms
[70/100] bcsstm25 → 177.648 ms
[71/100] bcsstm26 → 0.512 ms
[72/100] bcsstm27 → 0.162 ms
[73/100] blckhole → 0.590 ms
[74/100] bp_0 → 0.066 ms
[75/100] bp_1000 → 0.091 ms
[76/100] bp_1200 → 0.090 ms
[77/100] bp_1400 → 0.070 ms
[78/100] bp_1600 → 0.089 ms
[79/100] bp_200 → 0.084 ms
[80/100] bp_400 → 0.075 ms
[81/100] bp_600 → 0.091 ms
[82/100] bp_800 → 0.091 ms
[83/100] can_1054 → 0.129 ms
[84/100] can_1072 → 0.142 ms
[85/100] can_144 → 0.039 ms
[86/100] can_161 → 0.039 ms
[87/100] can_187 → 0.038 ms
[88/100] can_229 → 0.043 ms
[89/100] can_24 → 0.048 ms
[90/100] can_256 → 0.047 ms
[91/100] can_268 → 0.045 ms
[92/100] can_292 → 0.048 ms
[93/100] can_445 → 0.041 ms
[94/100] can_61 → 0.028 ms
[95/100] can_62 → 0.048 ms
[96/100] can_634 → 0.064 ms
[97/100] can_715 → 0.063 ms
[98/100] can_73 → 0.049 ms
[99/100] can_838 → 0.095 ms
[100/100] can_96 → 0.049 ms

写出 /home/xueyizhou/spgemm-challenge/suitesparse_crawl/baseline_cublas.csv  (ok 100/100)
